geo_label_city,date_label,strata_race_label,strata_sex_label,Cancer | All Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Injury Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Diabetes and Obesity | Diabetes Deaths,Life Expectancy at Birth | Life Expectancy,Mental Health | Suicide,Respiratory Infection | COVID-19 Deaths,Respiratory Infection | Pneumonia or Influenza Deaths,Sexually Transmitted Disease | HIV-Related Deaths,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths
Austin,2019,Asian/PI,Male,115.7490969,,33.56849821,128.786312,96.90000087,,532.5947038,,46.14723813,,2998.070196,,,8.134516254,,,,,
Austin,2019,Black,Female,,12.32516852,29.37658701,255.7244346,187.2415994,,784.9906541,,38.948624,7.905634248,6006.385267,,79.83007518,,,,,10.13553049,
Austin,2019,Black,Male,244.5570994,31.05027991,62.30924395,386.95151,299.2942606,19.92624534,1198.023672,28.10496837,141.0184139,36.56420179,11966.52054,48.84798959,70.67879416,16.84444399,,,,30.62571309,8.16476019
Austin,2019,Hispanic,Female,80.91132067,7.075715811,7.830219452,110.1020748,69.09810816,2.435141943,467.3425454,,32.97479236,6.819625377,3205.625094,21.69483874,84.57368209,2.976541295,,5.415707916,,3.456991466,
Austin,2019,Hispanic,Male,123.8732012,13.28041405,22.78816008,176.0902044,125.9938768,6.736183902,703.2458227,8.773771119,82.28435602,21.28951253,6501.795734,31.32368348,81.70035042,8.713094573,,12.2847591,,12.54360083,5.334647291
Austin,2019,White,Female,,10.06302089,22.46162047,143.128639,101.7726266,,565.3023317,2.491305468,48.03418224,3.539754342,3010.877211,,83.80790429,9.347339841,,8.748369656,,10.8870936,6.063506393
Austin,2019,White,Male,142.0864273,,27.52982137,,157.2607806,3.054290921,739.6950877,15.60512403,93.26740789,9.017545251,5811.305694,15.81432459,79.84913159,24.49747633,,12.36262036,3.032825744,26.46736564,16.65791669
Austin,2020,Asian/PI,Female,61.52722192,,,84.34501927,47.89274052,,288.8416683,,24.26863888,,2228.334241,,,,,,,,
Austin,2020,Asian/PI,Male,108.9528024,,34.72358151,160.409906,108.5621607,,631.8127495,9.269890928,70.18832518,,3322.578596,,,6.89692237,,,,,
Austin,2020,Black,Female,,12.29093776,,266.0768317,191.6613692,,838.2067165,,42.00232519,9.745806107,7111.775315,29.34445422,76.30714497,,49.53462339,19.18310451,,13.29396566,
Austin,2020,Black,Male,229.5479077,34.15759745,47.25406691,444.6474458,333.5199759,31.84825905,1333.152341,44.1955712,175.4969176,32.54222236,13779.18573,60.15087775,68.94934859,19.39920016,118.0423682,,,43.15174582,10.44308272
Austin,2020,Hispanic,Female,84.19415901,8.977932078,,124.5139767,82.77372435,,545.5049924,2.161287025,36.79882856,7.310356885,3785.658552,23.8284474,82.76864395,4.655951868,105.6701529,4.66983405,,6.388634831,3.819953284
Austin,2020,Hispanic,Male,122.1867594,10.95395197,19.99980984,184.2438399,141.5847723,10.87819168,783.8517419,13.43231088,88.69358351,21.67743048,7751.909467,35.76136449,77.96171618,11.3658046,196.4923399,13.73345432,,17.61573508,7.530368155
Austin,2020,White,Female,113.8867451,11.38004259,24.11033728,158.4137354,114.8248096,2.009099971,612.5174532,3.294361258,51.64471977,5.057650215,3439.034265,8.280534115,83.73227526,9.79652168,37.41019256,6.567895493,,13.07625108,7.815608036
Austin,2020,White,Male,148.215754,13.20982648,28.12110509,209.9669643,169.0068018,3.970179202,804.0656075,19.04895649,106.8333696,10.17148882,6577.909941,15.9051259,78.73379789,27.30658977,43.98223964,11.19905231,3.049040169,30.83498245,19.4404219
Austin,2021,Asian/PI,Female,60.57501238,,,86.98697987,48.08768417,,310.8247293,,25.72021746,,1675.354543,,,,,,,,
Austin,2021,Asian/PI,Male,96.28215519,,31.07776144,158.2260534,98.38036105,,579.2385509,8.230082044,49.49337571,,3364.8524,,,9.326864254,,,,,
Austin,2021,Black,Female,,11.71580088,,250.382829,174.7124463,,791.5347426,,52.17379169,12.39893948,7835.522716,24.85948781,75.5222757,,109.3430255,11.40254032,,14.7870391,
Austin,2021,Black,Male,191.680626,26.82090948,29.20350574,400.5940159,295.8337409,36.10651525,1242.448399,46.60562388,174.7795007,22.0818677,14204.92894,56.45298933,68.40256129,21.0828103,108.3805863,,,52.74505545,21.48593133
Austin,2021,Hispanic,Female,91.0106199,8.135071536,8.504251204,120.1395728,78.38655294,,562.6711353,2.984116281,40.95822445,8.655252077,4061.804812,20.86782188,80.90102264,5.455759002,152.2877285,5.913769833,,9.818285195,7.183882512
Austin,2021,Hispanic,Male,128.1318456,15.03453402,19.67948239,188.5078647,144.3450355,13.37375768,828.0473279,17.66735326,102.9661088,22.47135824,8692.513783,32.44221698,75.06519231,12.70351268,214.243919,15.55744609,,24.52593423,12.28825666
Austin,2021,White,Female,117.8428712,10.40660339,22.47496188,160.5820868,115.3972359,1.930054587,631.640382,3.681493208,51.4182167,4.894467429,3646.237477,8.231956269,82.50385873,9.287349266,41.28952286,6.70590914,,15.11941379,9.409668948
Austin,2021,White,Male,149.1766708,14.14194796,26.75248785,229.5199705,186.5772737,4.187510725,854.3570489,19.62195316,113.0284121,9.888989444,6689.93702,12.99013446,77.80171184,27.33118344,70.74552816,11.16147418,2.951084158,36.45762697,22.98421837
Austin,2022,Asian/PI,Female,67.17291016,,,83.2577415,51.54716596,,333.5594055,,28.05127249,,1570.408974,,,,,,,,
Austin,2022,Asian/PI,Male,81.64179544,,,200.4643014,131.2823178,,712.2370584,,56.61549742,,3456.759707,,,,,,,,
Austin,2022,Black,Female,,,,218.0248452,150.9263258,,734.6365955,,56.17305405,11.95759938,8769.693057,,76.97369917,,27.54062475,,,17.33424553,
Austin,2022,Black,Male,191.2234671,23.26906064,27.52188068,428.7119922,318.2977657,41.93204618,1304.844948,47.12683727,181.3379423,19.41501795,15255.77485,62.23593485,69.77986437,16.83642956,128.9046336,,,58.98266341,25.85183853
Austin,2022,Hispanic,Female,93.59738629,8.78256928,9.952878819,126.8206707,83.49143477,,571.023078,2.970436658,41.50829294,9.030478414,4254.342401,18.62442581,82.63920475,5.697265508,31.83881117,7.440329848,,11.88706276,8.695052033
Austin,2022,Hispanic,Male,125.0548222,18.02108869,12.54056441,186.7980824,147.0893045,16.29202652,804.4145042,22.39186182,110.272726,21.18254665,9016.043039,30.39089167,77.23669371,15.56133571,51.2498672,12.14694786,,28.03743862,15.75942286
Austin,2022,White,Female,123.7732748,10.79119409,21.25424712,164.7780105,116.550152,,645.3854071,4.244633165,54.17497527,5.985263331,3904.941923,8.235656267,82.42424911,10.87509555,16.61332824,6.302731127,,17.59958193,11.45594916
Austin,2022,White,Male,158.9760516,15.57541274,30.4941915,252.3075762,199.6255884,4.753565561,918.8291364,22.29957618,120.0794212,11.38604041,7064.474928,12.80462741,78.37667333,29.56352986,26.45202004,11.44403571,3.164503093,40.58411367,26.2021871
Baltimore,2010,Asian/PI,Female,,,,142.1023493,,,373.3550366,,,,4344.238031,,,,,,,,
Baltimore,2010,Asian/PI,Male,,,,,,,729.1077533,,132.4415694,,6626.597748,,,,,,,,
Baltimore,2010,Black,Female,208.5195992,23.58385727,,278.80885,203.772319,8.224278304,886.7032991,3.045552081,41.40092909,5.248164195,9636.23773,34.42346012,,,,20.77764482,22.36463308,13.26876558,10.06567652
Baltimore,2010,Black,Male,301.2542984,28.64174907,82.76491337,436.7015341,347.1829888,82.87639851,1404.270893,74.18721655,159.5202853,11.29172227,17801.55578,44.77507269,,11.63599572,,32.54760636,44.68850865,27.80316323,23.62541369
Baltimore,2010,Hispanic,Female,,,,,,,,,,,1384.517426,,,,,,,,
Baltimore,2010,Hispanic,Male,,,,,,26.79605645,283.7381795,,96.24795047,,5450.970944,,,,,,,,
Baltimore,2010,White,Female,,,,234.1945643,179.1863003,,793.7443933,,64.65113855,6.19225161,7033.381583,,,6.756980698,,18.00094566,,30.52342303,27.12785872
Baltimore,2010,White,Male,232.7298394,18.58048763,71.14412872,,,,1119.529778,10.4074012,116.1350334,16.10693239,10826.90481,20.7325804,,28.99206694,,,9.854389112,41.29358155,32.16190103
Baltimore,2011,Asian/PI,Female,70.5369206,,,184.2165056,118.4017896,,435.8374195,,,,4273.118921,,,,,,,,
Baltimore,2011,Asian/PI,Male,230.928776,,,215.4923986,209.7693627,,682.9495106,,81.69238887,,5700.349547,,,,,,,,
Baltimore,2011,Black,Female,202.3807027,23.88886475,48.22750119,282.9314091,209.1435777,7.291462232,883.3184154,3.024146724,40.04607355,4.934949217,9504.337251,33.7015903,76.27195198,,,20.4434945,21.32795241,15.11260132,11.01572745
Baltimore,2011,Black,Male,296.0135688,27.85778014,81.21959662,429.0806166,342.6338876,86.84757212,1385.481265,79.63015945,173.6536445,12.61539953,17913.32377,42.87229084,67.73247892,13.72625994,,27.04858564,43.56447897,33.42710753,27.89565067
Baltimore,2011,Hispanic,Female,,,,95.11767126,95.11767126,,,,,,1771.768585,,,,,,,,
Baltimore,2011,Hispanic,Male,,,,114.2758072,73.95981611,20.50850401,419.7925587,14.20632259,89.05619026,,5869.785726,,,,,,,,
Baltimore,2011,White,Female,,14.51601962,,227.1340281,174.3558047,,800.6391362,,65.05763784,6.276232932,6865.814505,19.16747254,78.31404001,7.275477077,,,,30.8108351,27.27021059
Baltimore,2011,White,Male,243.508544,20.03818797,,375.8950516,,4.579877674,1135.860455,12.9030003,117.7734208,14.46183313,10706.30712,24.95725237,72.98764858,24.09669575,,,9.157000809,43.59177058,33.41356214
Baltimore,2012,Asian/PI,Female,120.3034513,,,,,,682.9351077,,,,4241.084824,,,,,,,,
Baltimore,2012,Asian/PI,Male,133.8121152,,,297.3010757,,,919.7341845,,,,5152.382899,,,,,,,,
Baltimore,2012,Black,Female,196.087175,22.10394759,46.56127205,282.9582044,210.7033553,8.588101468,880.0809865,4.649488765,43.1203668,4.547676721,9295.177953,32.38556149,76.79697522,1.752195092,,21.1594815,19.59416937,15.82933207,10.8790217
Baltimore,2012,Black,Male,303.1117978,28.22177155,85.40886652,434.3391378,342.1767228,89.28770575,1427.252297,83.44178414,187.567274,13.46644808,18046.42355,48.30786414,67.75706115,15.94307697,,29.33097103,38.05268259,40.57938202,34.36301125
Baltimore,2012,Hispanic,Female,,,,120.8655163,115.8887347,,,,,,2591.378696,,,,,,,,
Baltimore,2012,Hispanic,Male,,,,186.3838827,115.116645,,558.3736849,,61.79450698,,5490.501755,,,,,,,,
