,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Maternal Deaths,Food Access | Limited Supermarket Access,"Housing | Homeless, Children",Births | Low Birthweight,"Health Insurance | Uninsured, All Ages",Deaths | Premature Death,Mental Health | Adult Mental Distress
3576,2,2,2,3,1,1,0,1,2012,17.751269220000005,42.025290593109524,16.32967234776581,12.317409303542798,11.700015226791296,14490.99135,13.328589790386525
3577,2,3,0,3,1,1,0,1,2012,5.22507707,38.059246011982765,16.330527952361656,6.549103071,23.847746545319147,4326.984097,13.32860804396774
3578,2,3,1,3,1,1,0,1,2012,12.299775701590736,42.025290593109524,16.32967234776581,6.668311025266598,23.969777590915424,2911.623951,13.328589790386525
3579,2,3,2,3,1,1,0,1,2012,12.299775701590736,42.025290593109524,16.32967234776581,6.668311025266598,23.969777590915424,5757.93197,13.328589790386525
3580,2,5,0,3,1,1,0,1,2012,12.50972747006601,38.059246011982765,16.330527952361656,7.35699196646025,23.471211877659574,5340.703146895005,13.32860804396774
3581,2,1,0,3,1,1,0,1,2012,16.06683805,38.059246011982765,16.330527952361656,7.081448745,8.211411285106381,4418.248522,13.32860804396774
3582,2,1,1,3,1,1,0,1,2012,16.661399622088418,42.025290593109524,16.32967234776581,7.069545361766524,8.257070017122825,3211.466117,13.328589790386525
3583,2,1,2,3,1,1,0,1,2012,16.661399622088418,42.025290593109524,16.32967234776581,7.069545361766524,8.257070017122825,5542.541615,13.328589790386525
3584,2,0,0,3,1,1,0,1,2013,6.443959036,26.14243694,16.407385060313967,7.329384363,15.46735097,4775.627802,13.2
3585,2,0,1,3,1,1,0,1,2013,12.50972747006601,38.059246011982765,16.129976906271214,7.362904007369509,15.862869841330607,3395.333775,13.32860804396774
3586,2,0,2,3,1,1,0,1,2013,12.50972747006601,38.059246011982765,16.129976906271214,7.362904007369509,15.862869841330607,6174.877829,13.32860804396774
3587,2,4,0,3,1,1,0,1,2013,12.50972747006601,38.059246011982765,16.129976906271214,7.910097283,11.92152566,3016.17932,13.32860804396774
3588,2,4,1,3,1,1,0,1,2013,12.508866544160178,42.025290593109524,16.118102345114377,8.15139645213004,9.804165039051046,2310.961972,13.328589790386525
3589,2,4,2,3,1,1,0,1,2013,12.508866544160178,42.025290593109524,16.118102345114377,8.15139645213004,9.804165039051046,3878.605574,13.328589790386525
3590,2,2,0,3,1,1,0,1,2013,17.75126922,38.059246011982765,16.129976906271214,12.51739493,10.9258751,11343.49713,13.32860804396774
3591,2,2,1,3,1,1,0,1,2013,17.75126922,42.025290593109524,16.118102345114377,12.006006198190072,11.696074536598964,8421.062931,13.328589790386525
3592,2,2,2,3,1,1,0,1,2013,17.75126922,42.025290593109524,16.118102345114377,12.006006198190072,11.696074536598964,14602.66892,13.328589790386525
3593,2,3,0,3,1,1,0,1,2013,5.22507707,38.059246011982765,16.129976906271214,6.56077565,22.06679179,4254.402525,13.32860804396774
3594,2,3,1,3,1,1,0,1,2013,12.299775701590736,42.025290593109524,16.118102345114377,6.713539645015676,23.97713429712811,2942.486772,13.328589790386525
3595,2,3,2,3,1,1,0,1,2013,12.299775701590736,42.025290593109524,16.118102345114377,6.713539645015676,23.97713429712811,5573.038581,13.328589790386525
3596,2,5,0,3,1,1,0,1,2013,12.50972747006601,38.059246011982765,16.129976906271214,7.371448642431485,24.47612875,5296.431176482334,13.32860804396774
3597,2,1,0,3,1,1,0,1,2013,16.06683805,38.059246011982765,16.129976906271214,6.930760345,7.54505515,4451.177282,13.32860804396774
