,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Air Pollution | Poor Air Quality,Dietary Quality | Teen Breakfast,Lead Poisoning | Child Lead Levels 10+ mcg/dL,Physical Activity | Teen Physical Education,School Violence | Fighting in School
6169,4,3,0,3,1,1,0,0,2018,78.07119429503751,15.58494934311598,0.2519317611935316,42.51752298592715,19.77736227460572
6170,4,3,1,3,1,1,0,0,2018,78.0641888097668,14.448081379136248,0.23052177969802878,42.94123974101508,16.196719333425982
6171,4,3,2,3,1,1,0,0,2018,78.0641888097668,15.486992288788253,0.23052177969802878,41.432758393302315,21.356844297233287
6172,4,5,0,3,1,1,0,0,2018,78.07119429503751,13.555149032620589,0.2519317611935316,42.61968176536637,19.240637160018675
6173,4,1,0,3,1,1,0,0,2018,78.07119429503751,11.582717121846834,0.2519317611935316,44.94324020999479,17.862888595360012
6174,4,1,1,3,1,1,0,0,2018,78.0641888097668,11.637585847813913,0.23052177969802878,43.81047623213691,14.942400172111682
6175,4,1,2,3,1,1,0,0,2018,78.0641888097668,12.485201078669006,0.23052177969802878,41.892075572716486,21.302194771212605
6176,4,0,0,3,1,1,0,0,2019,76.16438356,14.2,0.260363488,45.9,19.8
6177,4,0,1,3,1,1,0,0,2019,73.78848089027657,13.3,0.2737457373072806,44.2,12.653204267475108
6178,4,0,2,3,1,1,0,0,2019,73.78848089027657,14.6,0.2737457373072806,47.2,22.287708667106557
6179,4,4,0,3,1,1,0,0,2019,73.78848089027657,15.3,0.2737457373072806,44.9,9.662132232270773
6180,4,4,1,3,1,1,0,0,2019,73.76653935305355,13.975467483034587,0.233424076141757,43.962548091046216,10.200000000000003
6181,4,4,2,3,1,1,0,0,2019,73.76653935305355,15.163484554442617,0.233424076141757,42.622246212195215,14.385714285714288
6182,4,2,0,3,1,1,0,0,2019,73.78848089027657,17.560358147357068,0.2737457373072806,43.86663948505108,24.843771872928905
6183,4,2,1,3,1,1,0,0,2019,73.76653935305355,14.411419464321494,0.233424076141757,45.27538634785337,15.785714285714288
6184,4,2,2,3,1,1,0,0,2019,73.76653935305355,15.455696707789023,0.233424076141757,42.69696034014632,22.214285714285715
6185,4,3,0,3,1,1,0,0,2019,73.78848089027657,16.3,0.2737457373072806,44.8,19.661106533369
6186,4,3,1,3,1,1,0,0,2019,73.76653935305355,14.910512599954203,0.233424076141757,42.44709510593994,15.02857142857143
6187,4,3,2,3,1,1,0,0,2019,73.76653935305355,14.45237945612698,0.233424076141757,41.743120201045414,20.542857142857144
6188,4,5,0,3,1,1,0,0,2019,73.78848089027657,14.028395010359292,0.2737457373072806,42.97506480045598,19.786251646807006
6189,4,1,0,3,1,1,0,0,2019,73.78848089027657,9.3,0.2737457373072806,48.5,17.275336395303793
6190,4,1,1,3,1,1,0,0,2019,73.76653935305355,12.435710848645071,0.233424076141757,43.81628295864427,14.185714285714287
6191,4,1,2,3,1,1,0,0,2019,73.76653935305355,12.904401775580556,0.233424076141757,42.47598107979327,22.02857142857143
6192,4,0,0,3,1,1,0,0,2020,83.60655738,14.2,0.260363488,45.9,19.8
6193,4,0,1,3,1,1,0,0,2020,73.68384782376874,13.851802718096945,0.29401534156849596,46.806213491397926,12.786344837130573
6194,4,0,2,3,1,1,0,0,2020,73.68384782376874,14.445792515717349,0.29401534156849596,43.90009569813218,20.888039095760153
6195,4,4,0,3,1,1,0,0,2020,73.68384782376874,14.166986806781278,0.29401534156849596,45.20229469156874,8.903703478280502
6196,4,4,1,3,1,1,0,0,2020,73.71135574682266,13.298754436502492,0.29435608529962864,49.94861337394587,10.485714285714284
6197,4,4,2,3,1,1,0,0,2020,73.71135574682266,14.487480339318246,0.29435608529962864,47.84840400559515,16.114285714285714
6198,4,2,0,3,1,1,0,0,2020,73.68384782376874,18.893318259487337,0.29401534156849596,45.520408038422694,25.449426074344064
6199,4,2,1,3,1,1,0,0,2020,73.71135574682266,15.59641936686311,0.29435608529962864,46.437595762685824,16.07142857142857
6200,4,2,2,3,1,1,0,0,2020,73.71135574682266,14.793053635327375,0.29435608529962864,44.13668352721472,21.7
6201,4,3,0,3,1,1,0,0,2020,73.68384782376874,16.509662204781158,0.29401534156849596,43.99867996357991,19.36931715900308
