,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Climate-related  Disasters,Income | Households with Higher-Incomes,Life Expectancy at Birth | Life Expectancy,Race/Ethnicity | Minority Population,Respiratory Infection | New Tuberculosis Cases,Transportation | Public Transportation Use
500,8,4,1,1,1,0,1,1,2015,25.37413515,2.6475126580686466,11.3,57.94879753091926,89.80648138576669,54.895092767260536,6.499442121407911,30.869449353845567
501,8,4,2,1,1,0,1,1,2015,52.78996645,4.315387100515085,11.3,57.94879753091926,85.324380893224,54.895092767260536,6.499442121407911,30.869449353845567
502,8,2,0,1,1,0,1,1,2015,31.05883315,6.698867327,11.300000000000002,57.94546177634394,80.09851912,54.89607862849596,6.498905633144844,37.99168904
503,8,2,1,1,1,0,1,1,2015,24.68361394,5.91930854,11.3,57.94879753091926,83.16602999,54.895092767260536,6.499442121407911,40.120179653947474
504,8,2,2,1,1,0,1,1,2015,40.28098878,7.857273459,11.3,57.94879753091926,76.27694447,54.895092767260536,6.499442121407911,40.120179653947474
505,8,3,0,1,1,0,1,1,2015,14.85028778,4.979628854,11.300000000000002,57.94546177634394,86.82176838,54.89607862849596,6.498905633144844,44.22439468
506,8,3,1,1,1,0,1,1,2015,8.778611926,1.4590275539121709,11.3,57.94879753091926,88.32032590992851,54.895092767260536,6.499442121407911,41.40566497778911
507,8,3,2,1,1,0,1,1,2015,23.2267525,7.377351558,11.3,57.94879753091926,81.77725773,54.895092767260536,6.499442121407911,41.40566497778911
508,8,5,0,1,1,0,1,1,2015,35.67168107996284,4.148416265884639,11.300000000000002,57.94546177634394,80.88579034510282,54.89607862849596,6.498905633144844,37.67967146
509,8,1,0,1,1,0,1,1,2015,46.00725206,4.285342927,11.300000000000002,57.94546177634394,79.66690103,54.89607862849596,6.498905633144844,28.67718004
510,8,1,1,1,1,0,1,1,2015,38.66469048,3.189657769,11.3,57.94879753091926,81.57699253,54.895092767260536,6.499442121407911,26.590937818788774
511,8,1,2,1,1,0,1,1,2015,56.37457919,5.609054151,11.3,57.94879753091926,77.35651994,54.895092767260536,6.499442121407911,26.590937818788774
512,8,0,0,1,1,0,1,1,2016,33.07528855,4.319174995,11.3,57.27522423,80.72066974,55.09416311,6.2,33.63852467
513,8,0,1,1,1,0,1,1,2016,27.45187931,3.154367726,11.300000000000002,60.070327728119665,83.45490745,55.30030261009729,6.25704915661765,31.38085770985724
514,8,0,2,1,1,0,1,1,2016,41.33321006,5.755556174,11.300000000000002,60.070327728119665,77.65206278,55.30030261009729,6.25704915661765,31.38085770985724
515,8,4,0,1,1,0,1,1,2016,34.02224033,3.2107277353948245,11.300000000000002,60.070327728119665,85.65809009,55.30030261009729,6.25704915661765,31.67169338
516,8,4,1,1,1,0,1,1,2016,20.71089319,2.4046561657335976,11.3,60.07531611386098,90.05415875267903,55.300670504647066,6.2570942091393125,30.852150386287196
517,8,4,2,1,1,0,1,1,2016,50.82508268,4.102930185330756,11.3,60.07531611386098,85.11002458996508,55.300670504647066,6.2570942091393125,30.852150386287196
518,8,2,0,1,1,0,1,1,2016,29.59541976,6.753070347,11.300000000000002,60.070327728119665,79.48981997,55.30030261009729,6.25704915661765,37.99168904
519,8,2,1,1,1,0,1,1,2016,24.95841943,5.273957268,11.3,60.07531611386098,82.65310249,55.300670504647066,6.2570942091393125,35.73415751340014
520,8,2,2,1,1,0,1,1,2016,36.27229747,8.573415252,11.3,60.07531611386098,75.77455373,55.300670504647066,6.2570942091393125,35.73415751340014
521,8,3,0,1,1,0,1,1,2016,13.58266443,4.521939253,11.300000000000002,60.070327728119665,87.27886807,55.30030261009729,6.25704915661765,44.22439468
522,8,3,1,1,1,0,1,1,2016,7.417680094,1.4073246145794813,11.3,60.07531611386098,88.843975806525,55.300670504647066,6.2570942091393125,41.34488407810687
523,8,3,2,1,1,0,1,1,2016,22.38928278,6.464731939,11.3,60.07531611386098,81.18212246,55.300670504647066,6.2570942091393125,41.34488407810687
524,8,5,0,1,1,0,1,1,2016,33.47652030564627,4.0022805001569335,11.300000000000002,60.070327728119665,80.97050374819763,55.30030261009729,6.25704915661765,37.67967146
525,8,1,0,1,1,0,1,1,2016,40.15594096,3.275457986,11.300000000000002,60.070327728119665,79.67024578,55.30030261009729,6.25704915661765,28.67718004
526,8,1,1,1,1,0,1,1,2016,36.51543084,2.761707883052631,11.3,60.07531611386098,81.89277285,55.300670504647066,6.2570942091393125,26.545951710663253
527,8,1,2,1,1,0,1,1,2016,45.68318731,5.357433026,11.3,60.07531611386098,77.3018026,55.300670504647066,6.2570942091393125,26.545951710663253
528,8,0,0,1,1,0,1,1,2017,31.93342339,4.131461309,11.3,57.27522423,80.82508199,55.09416311,6.7,33.63852467
529,8,0,1,1,1,0,1,1,2017,27.83298359,2.218220995,11.300000000000002,61.47969986328212,84.04857866,55.40424411623074,5.803634761388191,30.242476642307246
530,8,0,2,1,1,0,1,1,2017,38.0358236,6.443139945,11.300000000000002,61.47969986328212,77.6237502,55.40424411623074,5.803634761388191,30.242476642307246
531,8,4,0,1,1,0,1,1,2017,28.78728737,3.0130454577789947,11.300000000000002,61.47969986328212,87.05712556,55.40424411623074,5.803634761388191,31.67169338
532,8,4,1,1,1,0,1,1,2017,16.44517743,2.1381068568914996,11.3,61.48137772425627,89.8000117443011,55.40436785884803,5.8018557743409485,30.438913073363544
533,8,4,2,1,1,0,1,1,2017,44.52424129,3.9925391197158167,11.3,61.48137772425627,84.62325031087441,55.40436785884803,5.8018557743409485,30.438913073363544
534,8,2,0,1,1,0,1,1,2017,28.33833043,6.389864117,11.300000000000002,61.47969986328212,80.03677063,55.40424411623074,5.803634761388191,37.99168904
