,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Owner Occupied Housing,Language and Nativity | Primarily Speak Chinese,Physical Activity | Teen Physical Education,Respiratory Disease | Teen Asthma,Substance Use | Adult Smoking
4678,0,2,0,1,1,1,1,1,2016,11.51847354,687.7262628,23.62160725,26.88898689,6.169517350485726,23.71358065828931,28.512145652604858,16.044099976707145
4679,0,2,1,1,1,1,1,1,2016,12.082475676634367,774.6124644365959,24.280865368771885,27.003228223457562,6.1695008581179955,14.57677926901499,25.78008997291038,16.043491076411637
4680,0,2,2,1,1,1,1,1,2016,12.082475676634367,854.7329149,24.280865368771885,27.003228223457562,6.1695008581179955,17.069969290268638,27.341215451552223,16.043491076411637
4681,0,3,0,1,1,1,1,1,2016,9.244943864,499.9578566,17.36563508,16.42535861,6.169517350485726,23.87203976490424,28.53655693839829,16.044099976707145
4682,0,3,1,1,1,1,1,1,2016,9.711757311182819,406.4745382,18.409872233940174,16.53194831552033,6.1695008581179955,14.165381715358304,25.184771833298498,16.043491076411637
4683,0,3,2,1,1,1,1,1,2016,9.711757311182819,627.4800951,18.409872233940174,16.53194831552033,6.1695008581179955,16.658571736611957,27.58157965576115,16.043491076411637
4684,0,5,0,1,1,1,1,1,2016,9.450767454607776,583.1609205887844,16.88311688,26.91370063,6.169517350485726,14.971611750724296,24.512141934641647,16.044099976707145
4685,0,1,0,1,1,1,1,1,2016,6.660956832,593.1315237,57.38023731,42.88091362,6.169517350485726,19.289072245356678,17.036522658231508,16.044099976707145
4686,0,1,1,1,1,1,1,1,2016,7.266109812436294,502.8935486,58.733009793144106,42.688977025924935,6.1695008581179955,13.184677547820714,19.48221809126862,16.043491076411637
4687,0,1,2,1,1,1,1,1,2016,7.266109812436294,703.6503846,58.733009793144106,42.688977025924935,6.1695008581179955,15.097139160656512,21.099999999999998,16.043491076411637
4688,0,0,0,1,1,1,1,1,2017,8.89271781,560.6793089,36.71353586,32.62889411,6.178758391,13.9,23.9,16.0
4689,0,0,1,1,1,1,1,1,2017,9.279114123476385,469.502485,38.21195116423414,32.75910842945322,6.164857750220659,11.9,21.3,15.643151711651893
4690,0,0,2,1,1,1,1,1,2017,9.279114123476385,681.9647108,38.21195116423414,32.75910842945322,6.164857750220659,15.8,26.5,15.643151711651893
4691,0,4,0,1,1,1,1,1,2017,8.22275707,389.5594897,41.16104326,41.48198632,6.164857750220659,10.8,15.8,15.643151711651893
4692,0,4,1,1,1,1,1,1,2017,8.305029724494762,315.9881071,42.705307882755065,43.018447686757256,6.164852202955147,18.474277958165267,18.760970834812998,15.643006297534582
4693,0,4,2,1,1,1,1,1,2017,8.305029724494762,482.7174272,42.705307882755065,43.018447686757256,6.164852202955147,19.422482151697366,21.97287262381738,15.643006297534582
4694,0,2,0,1,1,1,1,1,2017,11.76344305,692.0300631,23.62160725,26.88898689,6.164857750220659,17.1,27.4,15.643151711651893
4695,0,2,1,1,1,1,1,1,2017,12.305628685883418,755.5512274228881,24.613282405601392,27.060832012428957,6.164852202955147,18.139390319011873,25.40229363284281,15.643006297534582
4696,0,2,2,1,1,1,1,1,2017,12.305628685883418,869.9630139,24.613282405601392,27.060832012428957,6.164852202955147,22.057084650434067,27.59258184229785,15.643006297534582
4697,0,3,0,1,1,1,1,1,2017,9.412089147,498.0025545,17.36563508,16.42535861,6.164857750220659,13.7,28.0,15.643151711651893
4698,0,3,1,1,1,1,1,1,2017,9.867890538017646,406.0429473,18.936406850012432,16.585693932080357,6.164852202955147,15.855032798939254,24.644255601528226,15.643006297534582
4699,0,3,2,1,1,1,1,1,2017,9.867890538017646,621.3168859,18.936406850012432,16.585693932080357,6.164852202955147,21.638874602338245,27.679077703410723,15.643006297534582
4700,0,5,0,1,1,1,1,1,2017,9.279114123476385,593.6417537926687,16.88311688,26.91370063,6.164857750220659,14.9709981231647,24.397445669249255,15.643151711651893
4701,0,1,0,1,1,1,1,1,2017,6.766421459,578.058912,57.38023731,42.88091362,6.164857750220659,10.7,16.9,15.643151711651893
4702,0,1,1,1,1,1,1,1,2017,7.03710563556282,488.7122449,59.415116857959575,42.592197036350534,6.164852202955147,12.553781804534765,19.89922925782875,15.643006297534582
4703,0,1,2,1,1,1,1,1,2017,7.03710563556282,685.4537649,59.415116857959575,42.592197036350534,6.164852202955147,15.041217124587874,22.04865292410182,15.643006297534582
4704,0,0,0,1,1,1,1,1,2018,9.005229179,550.4387736,40.21267879,32.93297437,6.146297211,13.9,23.9,15.1
4705,0,0,1,1,1,1,1,1,2018,9.32904653980262,459.5621869,38.71426348576587,32.80276005054678,6.1601978517793405,22.26111718419195,22.552440119463686,15.200183257801505
4706,0,0,2,1,1,1,1,1,2018,9.32904653980262,669.2602083,38.71426348576587,32.80276005054678,6.1601978517793405,23.489120971295762,26.622467644013383,15.200183257801505
4707,0,4,0,1,1,1,1,1,2018,8.355069128,374.2838542,44.76725485,45.06997552,6.1601978517793405,25.245533605175442,18.58228375659624,15.200183257801505
4708,0,4,1,1,1,1,1,1,2018,8.4283509984626,302.9614488,43.22299022724494,43.53351415324275,6.160203399044853,18.490853670030646,19.862778472647552,15.200093756847735
4709,0,4,2,1,1,1,1,1,2018,8.4283509984626,461.4820526,43.22299022724494,43.53351415324275,6.160203399044853,19.438571979240063,21.905328262949222,15.200093756847735
