,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Income-related | Unemployment,"Racial Segregation Indices | Racial Segregation, White and Non-White",Cancer | Lung Cancer Deaths,Active Transportation | Riding Bike to Work,Deaths | Deaths from All Causes,Sexually Transmitted Disease | New Gonorrhea Cases
5332,3,4,1,1,0,1,1,1,2018,6.554434127868888,59.04409130904575,16.27821303,1.979436649267768,335.5047015,441.7001602794834
5333,3,4,2,1,0,1,1,1,2018,6.554434127868888,59.04409130904575,21.4997343,1.979436649267768,468.2036335,441.7001602794834
5334,3,2,0,1,0,1,1,1,2018,12.53435115,59.043505637040084,45.86180637,1.9793892396467778,997.7160922,441.7414637415258
5335,3,2,1,1,0,1,1,1,2018,13.783297446943854,59.04409130904575,40.42621789,1.979436649267768,796.7567442,441.7001602794834
5336,3,2,2,1,0,1,1,1,2018,13.783297446943854,59.04409130904575,56.30855503,1.979436649267768,1319.259188,441.7001602794834
5337,3,3,0,1,0,1,1,1,2018,9.389446836,59.043505637040084,21.50247779,1.9793892396467778,664.6167844,441.7414637415258
5338,3,3,1,1,0,1,1,1,2018,12.031302269709741,59.04409130904575,13.43943715,1.979436649267768,490.5990351,441.7001602794834
5339,3,3,2,1,0,1,1,1,2018,12.031302269709741,59.04409130904575,34.39102072,1.979436649267768,893.5846749,441.7001602794834
5340,3,5,0,1,0,1,1,1,2018,24.75386779,59.043505637040084,42.50311232852879,1.9793892396467778,902.7356233827038,441.7414637415258
5341,3,1,0,1,0,1,1,1,2018,5.295003694,59.043505637040084,43.00808333,1.9793892396467778,833.7204158,441.7414637415258
5342,3,1,1,1,0,1,1,1,2018,5.7992909290615895,59.04409130904575,39.60963708,1.979436649267768,696.0649517,441.7001602794834
5343,3,1,2,1,0,1,1,1,2018,5.7992909290615895,59.04409130904575,47.92493709,1.979436649267768,994.1798504,441.7001602794834
5344,3,0,0,1,0,1,1,1,2019,8.645335529,57.57589675,39.38426493,1.860587623,913.1435233,444.6
5345,3,0,1,1,0,1,1,1,2019,9.409250272762305,58.55155200212356,33.75517826,1.9395660362991782,732.1899155,448.24604486823904
5346,3,0,2,1,0,1,1,1,2019,9.409250272762305,58.55155200212356,47.8342235,1.9395660362991782,1152.218816,448.24604486823904
