,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
1598,10,1,1,2,1,1,0,1,2018,19.10868782308778,9.981578782713708,35.49999999999999,46.9434192004261,676.0244516059279
1599,10,1,2,2,1,1,0,1,2018,19.10868782308778,9.981578782713708,27.879999999999995,46.9434192004261,676.0244516059279
1600,10,0,0,2,1,1,0,1,2019,21.23375995,9.991260734,32.8,46.89079454,756.8
1601,10,0,1,2,1,1,0,1,2019,21.779847004790728,9.986425042285227,42.62770289303947,46.917078150285825,732.9425471386968
1602,10,0,2,2,1,1,0,1,2019,21.779847004790728,9.986425042285227,25.00517254998267,46.917078150285825,732.9425471386968
1603,10,4,0,2,1,1,0,1,2019,10.409729604918486,9.986425042285227,29.618281634676848,46.917078150285825,732.9425471386968
1604,10,4,1,2,1,1,0,1,2019,10.378604413455486,9.986422153163184,39.28373149136812,46.91709385363548,732.9412765822738
1605,10,4,2,2,1,1,0,1,2019,10.378604413455486,9.986422153163184,24.800584006062557,46.91709385363548,732.9412765822738
1606,10,2,0,2,1,1,0,1,2019,30.91732334,9.986425042285227,31.824638166674305,46.917078150285825,732.9425471386968
1607,10,2,1,2,1,1,0,1,2019,34.369453054361756,9.986422153163184,38.68345994086207,46.91709385363548,732.9412765822738
1608,10,2,2,2,1,1,0,1,2019,34.369453054361756,9.986422153163184,27.022163231231705,46.91709385363548,732.9412765822738
1609,10,3,0,2,1,1,0,1,2019,13.59787353,9.986425042285227,35.006969109781465,46.917078150285825,732.9425471386968
1610,10,3,1,2,1,1,0,1,2019,13.172258708409752,9.986422153163184,38.56232230176647,46.91709385363548,732.9412765822738
1611,10,3,2,2,1,1,0,1,2019,13.172258708409752,9.986422153163184,30.71991398882346,46.91709385363548,732.9412765822738
1612,10,5,0,2,1,1,0,1,2019,21.779847004790728,9.986425042285227,32.8,46.917078150285825,732.9425471386968
