,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Adult Obesity,Income | Poverty in Children,Physical Activity | Adult Physical Inactivity,"Respiratory Infection | COVID-19 Vaccination, Seniors",Substance Use | Teen Marijuana
5218,3,0,2,1,0,1,1,1,2011,32.8,35.92037498309543,28.4,84.69943438015686,24.5
5219,3,4,0,1,0,1,1,1,2011,32.8,33.25809669,28.4,84.69943438015686,6.3
5220,3,4,1,1,0,1,1,1,2011,32.8,32.33394965269914,28.4,84.69938707723303,12.886139683106606
5221,3,4,2,1,0,1,1,1,2011,32.8,32.33394965269914,28.4,84.69938707723303,14.363421499927115
5222,3,2,0,1,0,1,1,1,2011,32.8,40.55553976,28.4,84.69943438015686,22.6
5223,3,2,1,1,0,1,1,1,2011,32.8,40.75072232530436,28.4,84.69938707723303,21.82377003496121
5224,3,2,2,1,0,1,1,1,2011,32.8,40.75072232530436,28.4,84.69938707723303,23.740907525699946
5225,3,3,0,1,0,1,1,1,2011,32.8,49.44387635,28.4,84.69943438015686,20.5
5226,3,3,1,1,0,1,1,1,2011,32.8,49.11866080837816,28.4,84.69938707723303,21.763823802749183
5227,3,3,2,1,0,1,1,1,2011,32.8,49.11866080837816,28.4,84.69938707723303,23.24110561956969
5228,3,5,0,1,0,1,1,1,2011,32.8,36.25,28.4,84.69943438015686,22.81230590048047
5229,3,1,0,1,0,1,1,1,2011,32.8,15.39654206,28.4,84.69943438015686,23.3
5230,3,1,1,1,0,1,1,1,2011,32.8,15.590214293361054,28.4,84.69938707723303,21.477040744856474
5231,3,1,2,1,0,1,1,1,2011,32.8,15.590214293361054,28.4,84.69938707723303,22.954322561676975
5232,3,0,0,1,0,1,1,1,2012,32.8,35.89121956,28.4,84.70062962963648,21.3
5233,3,0,1,1,0,1,1,1,2012,32.800000000000004,35.920517158509696,28.4,84.70048958930695,20.173699017099093
5234,3,0,2,1,0,1,1,1,2012,32.800000000000004,35.920517158509696,28.4,84.70048958930695,23.382521128067204
5235,3,4,0,1,0,1,1,1,2012,32.800000000000004,33.25809669,28.4,84.70048958930695,6.970611335662243
5236,3,4,1,1,0,1,1,1,2012,32.8,32.3294430815735,28.4,84.70036283406833,15.704025405849105
5237,3,4,2,1,0,1,1,1,2012,32.8,32.3294430815735,28.4,84.70036283406833,17.26717281659259
5238,3,2,0,1,0,1,1,1,2012,32.800000000000004,40.55553976,28.4,84.70048958930695,23.62374379939169
5239,3,2,1,1,0,1,1,1,2012,32.8,40.75167412634632,28.4,84.70036283406833,22.845166504427986
5240,3,2,2,1,0,1,1,1,2012,32.8,40.75167412634632,28.4,84.70036283406833,24.408313915171473
5241,3,3,0,1,0,1,1,1,2012,32.800000000000004,49.44387635,28.4,84.70048958930695,21.70005511666781
5242,3,3,1,1,0,1,1,1,2012,32.8,49.11707490601595,28.4,84.70036283406833,21.741900323467767
5243,3,3,2,1,0,1,1,1,2012,32.8,49.11707490601595,28.4,84.70036283406833,23.305047734211254
5244,3,5,0,1,0,1,1,1,2012,32.800000000000004,36.25,28.4,84.70048958930695,22.81968060799903
